#,MSlice,Slice,of,workspace,"__E150T1p6"
#,(Energy,Transfer,(meV)),($|Q|$,($\mathrm{\AA}^{-1}$)),(Signal),(Error)
E,Q,S,S_E
-3.000000000e+01,0.000000000e+00,nan,nan
-2.899441341e+01,0.000000000e+00,nan,nan
-2.798882682e+01,0.000000000e+00,nan,nan
-2.698324022e+01,0.000000000e+00,nan,nan
-2.597765363e+01,0.000000000e+00,nan,nan
-2.497206704e+01,0.000000000e+00,nan,nan
-2.396648045e+01,0.000000000e+00,nan,nan
-2.296089385e+01,0.000000000e+00,nan,nan
-2.195530726e+01,0.000000000e+00,nan,nan
-2.094972067e+01,0.000000000e+00,nan,nan
-1.994413408e+01,0.000000000e+00,nan,nan
-1.893854749e+01,0.000000000e+00,nan,nan
-1.793296089e+01,0.000000000e+00,nan,nan
-1.692737430e+01,0.000000000e+00,nan,nan
-1.592178771e+01,0.000000000e+00,nan,nan
-1.491620112e+01,0.000000000e+00,nan,nan
-1.391061453e+01,0.000000000e+00,nan,nan
-1.290502793e+01,0.000000000e+00,nan,nan
-1.189944134e+01,0.000000000e+00,nan,nan
-1.089385475e+01,0.000000000e+00,nan,nan
-9.888268156e+00,0.000000000e+00,nan,nan
-8.882681564e+00,0.000000000e+00,nan,nan
-7.877094972e+00,0.000000000e+00,nan,nan
-6.871508380e+00,0.000000000e+00,nan,nan
-5.865921788e+00,0.000000000e+00,nan,nan
-4.860335196e+00,0.000000000e+00,nan,nan
-3.854748603e+00,0.000000000e+00,nan,nan
-2.849162011e+00,0.000000000e+00,nan,nan
-1.843575419e+00,0.000000000e+00,nan,nan
-8.379888268e-01,0.000000000e+00,nan,nan
1.675977654e-01,0.000000000e+00,nan,nan
1.173184358e+00,0.000000000e+00,nan,nan
2.178770950e+00,0.000000000e+00,nan,nan
3.184357542e+00,0.000000000e+00,nan,nan
4.189944134e+00,0.000000000e+00,nan,nan
5.195530726e+00,0.000000000e+00,nan,nan
6.201117318e+00,0.000000000e+00,nan,nan
7.206703911e+00,0.000000000e+00,nan,nan
8.212290503e+00,0.000000000e+00,nan,nan
9.217877095e+00,0.000000000e+00,nan,nan
1.022346369e+01,0.000000000e+00,nan,nan
1.122905028e+01,0.000000000e+00,nan,nan
1.223463687e+01,0.000000000e+00,nan,nan
1.324022346e+01,0.000000000e+00,nan,nan
1.424581006e+01,0.000000000e+00,nan,nan
1.525139665e+01,0.000000000e+00,nan,nan
1.625698324e+01,0.000000000e+00,nan,nan
1.726256983e+01,0.000000000e+00,nan,nan
1.826815642e+01,0.000000000e+00,nan,nan
1.927374302e+01,0.000000000e+00,nan,nan
2.027932961e+01,0.000000000e+00,nan,nan
2.128491620e+01,0.000000000e+00,nan,nan
2.229050279e+01,0.000000000e+00,nan,nan
2.329608939e+01,0.000000000e+00,nan,nan
2.430167598e+01,0.000000000e+00,nan,nan
2.530726257e+01,0.000000000e+00,nan,nan
2.631284916e+01,0.000000000e+00,nan,nan
2.731843575e+01,0.000000000e+00,nan,nan
2.832402235e+01,0.000000000e+00,nan,nan
2.932960894e+01,0.000000000e+00,nan,nan
3.033519553e+01,0.000000000e+00,nan,nan
3.134078212e+01,0.000000000e+00,nan,nan
3.234636872e+01,0.000000000e+00,nan,nan
3.335195531e+01,0.000000000e+00,nan,nan
3.435754190e+01,0.000000000e+00,nan,nan
3.536312849e+01,0.000000000e+00,nan,nan
3.636871508e+01,0.000000000e+00,nan,nan
3.737430168e+01,0.000000000e+00,nan,nan
3.837988827e+01,0.000000000e+00,nan,nan
3.938547486e+01,0.000000000e+00,nan,nan
4.039106145e+01,0.000000000e+00,nan,nan
4.139664804e+01,0.000000000e+00,nan,nan
4.240223464e+01,0.000000000e+00,nan,nan
4.340782123e+01,0.000000000e+00,nan,nan
4.441340782e+01,0.000000000e+00,nan,nan
4.541899441e+01,0.000000000e+00,nan,nan
4.642458101e+01,0.000000000e+00,nan,nan
4.743016760e+01,0.000000000e+00,nan,nan
4.843575419e+01,0.000000000e+00,nan,nan
4.944134078e+01,0.000000000e+00,nan,nan
5.044692737e+01,0.000000000e+00,nan,nan
5.145251397e+01,0.000000000e+00,nan,nan
5.245810056e+01,0.000000000e+00,nan,nan
5.346368715e+01,0.000000000e+00,nan,nan
5.446927374e+01,0.000000000e+00,nan,nan
5.547486034e+01,0.000000000e+00,nan,nan
5.648044693e+01,0.000000000e+00,nan,nan
5.748603352e+01,0.000000000e+00,nan,nan
5.849162011e+01,0.000000000e+00,nan,nan
5.949720670e+01,0.000000000e+00,nan,nan
6.050279330e+01,0.000000000e+00,nan,nan
6.150837989e+01,0.000000000e+00,nan,nan
6.251396648e+01,0.000000000e+00,nan,nan
6.351955307e+01,0.000000000e+00,nan,nan
6.452513966e+01,0.000000000e+00,nan,nan
6.553072626e+01,0.000000000e+00,nan,nan
6.653631285e+01,0.000000000e+00,nan,nan
6.754189944e+01,0.000000000e+00,nan,nan
6.854748603e+01,0.000000000e+00,nan,nan
6.955307263e+01,0.000000000e+00,nan,nan
7.055865922e+01,0.000000000e+00,nan,nan
7.156424581e+01,0.000000000e+00,nan,nan
7.256983240e+01,0.000000000e+00,nan,nan
7.357541899e+01,0.000000000e+00,nan,nan
7.458100559e+01,0.000000000e+00,nan,nan
7.558659218e+01,0.000000000e+00,nan,nan
7.659217877e+01,0.000000000e+00,nan,nan
7.759776536e+01,0.000000000e+00,nan,nan
7.860335196e+01,0.000000000e+00,nan,nan
7.960893855e+01,0.000000000e+00,nan,nan
8.061452514e+01,0.000000000e+00,nan,nan
8.162011173e+01,0.000000000e+00,nan,nan
8.262569832e+01,0.000000000e+00,nan,nan
8.363128492e+01,0.000000000e+00,nan,nan
8.463687151e+01,0.000000000e+00,nan,nan
8.564245810e+01,0.000000000e+00,nan,nan
8.664804469e+01,0.000000000e+00,nan,nan
8.765363128e+01,0.000000000e+00,nan,nan
8.865921788e+01,0.000000000e+00,nan,nan
8.966480447e+01,0.000000000e+00,nan,nan
9.067039106e+01,0.000000000e+00,nan,nan
9.167597765e+01,0.000000000e+00,nan,nan
9.268156425e+01,0.000000000e+00,nan,nan
9.368715084e+01,0.000000000e+00,nan,nan
9.469273743e+01,0.000000000e+00,nan,nan
9.569832402e+01,0.000000000e+00,nan,nan
9.670391061e+01,0.000000000e+00,nan,nan
9.770949721e+01,0.000000000e+00,nan,nan
9.871508380e+01,0.000000000e+00,nan,nan
9.972067039e+01,0.000000000e+00,nan,nan
1.007262570e+02,0.000000000e+00,nan,nan
1.017318436e+02,0.000000000e+00,nan,nan
1.027374302e+02,0.000000000e+00,nan,nan
1.037430168e+02,0.000000000e+00,nan,nan
1.047486034e+02,0.000000000e+00,nan,nan
1.057541899e+02,0.000000000e+00,nan,nan
1.067597765e+02,0.000000000e+00,nan,nan
1.077653631e+02,0.000000000e+00,nan,nan
1.087709497e+02,0.000000000e+00,nan,nan
1.097765363e+02,0.000000000e+00,nan,nan
1.107821229e+02,0.000000000e+00,nan,nan
1.117877095e+02,0.000000000e+00,nan,nan
1.127932961e+02,0.000000000e+00,nan,nan
1.137988827e+02,0.000000000e+00,nan,nan
1.148044693e+02,0.000000000e+00,nan,nan
1.158100559e+02,0.000000000e+00,nan,nan
1.168156425e+02,0.000000000e+00,nan,nan
1.178212291e+02,0.000000000e+00,nan,nan
1.188268156e+02,0.000000000e+00,nan,nan
1.198324022e+02,0.000000000e+00,nan,nan
1.208379888e+02,0.000000000e+00,nan,nan
1.218435754e+02,0.000000000e+00,nan,nan
1.228491620e+02,0.000000000e+00,nan,nan
1.238547486e+02,0.000000000e+00,nan,nan
1.248603352e+02,0.000000000e+00,nan,nan
1.258659218e+02,0.000000000e+00,nan,nan
1.268715084e+02,0.000000000e+00,nan,nan
1.278770950e+02,0.000000000e+00,nan,nan
1.288826816e+02,0.000000000e+00,nan,nan
1.298882682e+02,0.000000000e+00,nan,nan
1.308938547e+02,0.000000000e+00,nan,nan
1.318994413e+02,0.000000000e+00,nan,nan
1.329050279e+02,0.000000000e+00,nan,nan
1.339106145e+02,0.000000000e+00,nan,nan
1.349162011e+02,0.000000000e+00,nan,nan
1.359217877e+02,0.000000000e+00,nan,nan
1.369273743e+02,0.000000000e+00,nan,nan
