#,MSlice,Slice,of,workspace,"__E76T1p6sub"
#,(Energy,Transfer,(meV)),($|Q|$,($\mathrm{\AA}^{-1}$)),(Signal),(Error)
E,Q,S,S_E
-1.500000000e+01,0.000000000e+00,nan,nan
-1.337254902e+01,0.000000000e+00,nan,nan
-1.174509804e+01,0.000000000e+00,nan,nan
-1.011764706e+01,0.000000000e+00,nan,nan
-8.490196078e+00,0.000000000e+00,nan,nan
-6.862745098e+00,0.000000000e+00,nan,nan
-5.235294118e+00,0.000000000e+00,nan,nan
-3.607843137e+00,0.000000000e+00,nan,nan
-1.980392157e+00,0.000000000e+00,nan,nan
-3.529411765e-01,0.000000000e+00,nan,nan
1.274509804e+00,0.000000000e+00,nan,nan
2.901960784e+00,0.000000000e+00,nan,nan
4.529411765e+00,0.000000000e+00,nan,nan
6.156862745e+00,0.000000000e+00,nan,nan
7.784313725e+00,0.000000000e+00,nan,nan
9.411764706e+00,0.000000000e+00,nan,nan
1.103921569e+01,0.000000000e+00,nan,nan
1.266666667e+01,0.000000000e+00,nan,nan
1.429411765e+01,0.000000000e+00,nan,nan
1.592156863e+01,0.000000000e+00,nan,nan
1.754901961e+01,0.000000000e+00,nan,nan
1.917647059e+01,0.000000000e+00,nan,nan
2.080392157e+01,0.000000000e+00,nan,nan
2.243137255e+01,0.000000000e+00,nan,nan
2.405882353e+01,0.000000000e+00,nan,nan
2.568627451e+01,0.000000000e+00,nan,nan
2.731372549e+01,0.000000000e+00,nan,nan
2.894117647e+01,0.000000000e+00,nan,nan
3.056862745e+01,0.000000000e+00,nan,nan
3.219607843e+01,0.000000000e+00,nan,nan
3.382352941e+01,0.000000000e+00,nan,nan
3.545098039e+01,0.000000000e+00,nan,nan
3.707843137e+01,0.000000000e+00,nan,nan
3.870588235e+01,0.000000000e+00,nan,nan
4.033333333e+01,0.000000000e+00,nan,nan
4.196078431e+01,0.000000000e+00,nan,nan
4.358823529e+01,0.000000000e+00,nan,nan
4.521568627e+01,0.000000000e+00,nan,nan
4.684313725e+01,0.000000000e+00,nan,nan
4.847058824e+01,0.000000000e+00,nan,nan
5.009803922e+01,0.000000000e+00,nan,nan
5.172549020e+01,0.000000000e+00,nan,nan
5.335294118e+01,0.000000000e+00,nan,nan
5.498039216e+01,0.000000000e+00,nan,nan
5.660784314e+01,0.000000000e+00,nan,nan
5.823529412e+01,0.000000000e+00,nan,nan
5.986274510e+01,0.000000000e+00,nan,nan
6.149019608e+01,0.000000000e+00,nan,nan
6.311764706e+01,0.000000000e+00,nan,nan
6.474509804e+01,0.000000000e+00,nan,nan
6.637254902e+01,0.000000000e+00,nan,nan
6.800000000e+01,0.000000000e+00,nan,nan
-1.500000000e+01,5.309734513e-02,nan,nan
-1.337254902e+01,5.309734513e-02,nan,nan
-1.174509804e+01,5.309734513e-02,nan,nan
-1.011764706e+01,5.309734513e-02,nan,nan
-8.490196078e+00,5.309734513e-02,nan,nan
-6.862745098e+00,5.309734513e-02,nan,nan
-5.235294118e+00,5.309734513e-02,nan,nan
-3.607843137e+00,5.309734513e-02,nan,nan
-1.980392157e+00,5.309734513e-02,nan,nan
-3.529411765e-01,5.309734513e-02,nan,nan
1.274509804e+00,5.309734513e-02,nan,nan
2.901960784e+00,5.309734513e-02,nan,nan
4.529411765e+00,5.309734513e-02,nan,nan
6.156862745e+00,5.309734513e-02,nan,nan
7.784313725e+00,5.309734513e-02,nan,nan
9.411764706e+00,5.309734513e-02,nan,nan
1.103921569e+01,5.309734513e-02,nan,nan
1.266666667e+01,5.309734513e-02,nan,nan
1.429411765e+01,5.309734513e-02,nan,nan
1.592156863e+01,5.309734513e-02,nan,nan
1.754901961e+01,5.309734513e-02,nan,nan
1.917647059e+01,5.309734513e-02,nan,nan
2.080392157e+01,5.309734513e-02,nan,nan
2.243137255e+01,5.309734513e-02,nan,nan
2.405882353e+01,5.309734513e-02,nan,nan
2.568627451e+01,5.309734513e-02,nan,nan
2.731372549e+01,5.309734513e-02,nan,nan
2.894117647e+01,5.309734513e-02,nan,nan
3.056862745e+01,5.309734513e-02,nan,nan
3.219607843e+01,5.309734513e-02,nan,nan
3.382352941e+01,5.309734513e-02,nan,nan
3.545098039e+01,5.309734513e-02,nan,nan
3.707843137e+01,5.309734513e-02,nan,nan
3.870588235e+01,5.309734513e-02,nan,nan
4.033333333e+01,5.309734513e-02,nan,nan
4.196078431e+01,5.309734513e-02,nan,nan
4.358823529e+01,5.309734513e-02,nan,nan
4.521568627e+01,5.309734513e-02,nan,nan
4.684313725e+01,5.309734513e-02,nan,nan
4.847058824e+01,5.309734513e-02,nan,nan
5.009803922e+01,5.309734513e-02,nan,nan
5.172549020e+01,5.309734513e-02,nan,nan
5.335294118e+01,5.309734513e-02,nan,nan
5.498039216e+01,5.309734513e-02,nan,nan
5.660784314e+01,5.309734513e-02,nan,nan
5.823529412e+01,5.309734513e-02,nan,nan
5.986274510e+01,5.309734513e-02,nan,nan
6.149019608e+01,5.309734513e-02,nan,nan
6.311764706e+01,5.309734513e-02,nan,nan
6.474509804e+01,5.309734513e-02,nan,nan
6.637254902e+01,5.309734513e-02,nan,nan
6.800000000e+01,5.309734513e-02,nan,nan
-1.500000000e+01,1.061946903e-01,nan,nan
-1.337254902e+01,1.061946903e-01,nan,nan
-1.174509804e+01,1.061946903e-01,nan,nan
-1.011764706e+01,1.061946903e-01,nan,nan
-8.490196078e+00,1.061946903e-01,nan,nan
-6.862745098e+00,1.061946903e-01,nan,nan
-5.235294118e+00,1.061946903e-01,nan,nan
-3.607843137e+00,1.061946903e-01,nan,nan
-1.980392157e+00,1.061946903e-01,nan,nan
-3.529411765e-01,1.061946903e-01,nan,nan
1.274509804e+00,1.061946903e-01,nan,nan
2.901960784e+00,1.061946903e-01,nan,nan
4.529411765e+00,1.061946903e-01,nan,nan
6.156862745e+00,1.061946903e-01,nan,nan
7.784313725e+00,1.061946903e-01,nan,nan
9.411764706e+00,1.061946903e-01,nan,nan
1.103921569e+01,1.061946903e-01,nan,nan
1.266666667e+01,1.061946903e-01,nan,nan
1.429411765e+01,1.061946903e-01,nan,nan
1.592156863e+01,1.061946903e-01,nan,nan
1.754901961e+01,1.061946903e-01,nan,nan
1.917647059e+01,1.061946903e-01,nan,nan
2.080392157e+01,1.061946903e-01,nan,nan
2.243137255e+01,1.061946903e-01,nan,nan
2.405882353e+01,1.061946903e-01,nan,nan
2.568627451e+01,1.061946903e-01,nan,nan
2.731372549e+01,1.061946903e-01,nan,nan
2.894117647e+01,1.061946903e-01,nan,nan
3.056862745e+01,1.061946903e-01,nan,nan
3.219607843e+01,1.061946903e-01,nan,nan
3.382352941e+01,1.061946903e-01,nan,nan
3.545098039e+01,1.061946903e-01,nan,nan
3.707843137e+01,1.061946903e-01,nan,nan
3.870588235e+01,1.061946903e-01,nan,nan
4.033333333e+01,1.061946903e-01,nan,nan
4.196078431e+01,1.061946903e-01,nan,nan
4.358823529e+01,1.061946903e-01,nan,nan
4.521568627e+01,1.061946903e-01,nan,nan
4.684313725e+01,1.061946903e-01,nan,nan
4.847058824e+01,1.061946903e-01,nan,nan
5.009803922e+01,1.061946903e-01,nan,nan
5.172549020e+01,1.061946903e-01,nan,nan
5.335294118e+01,1.061946903e-01,nan,nan
5.498039216e+01,1.061946903e-01,nan,nan
5.660784314e+01,1.061946903e-01,nan,nan
5.823529412e+01,1.061946903e-01,nan,nan
5.986274510e+01,1.061946903e-01,nan,nan
6.149019608e+01,1.061946903e-01,nan,nan
6.311764706e+01,1.061946903e-01,nan,nan
6.474509804e+01,1.061946903e-01,nan,nan
6.637254902e+01,1.061946903e-01,nan,nan
6.800000000e+01,1.061946903e-01,nan,nan
-1.500000000e+01,1.592920354e-01,nan,nan
-1.337254902e+01,1.592920354e-01,nan,nan
-1.174509804e+01,1.592920354e-01,nan,nan
-1.011764706e+01,1.592920354e-01,nan,nan
-8.490196078e+00,1.592920354e-01,nan,nan
-6.862745098e+00,1.592920354e-01,nan,nan
-5.235294118e+00,1.592920354e-01,nan,nan
-3.607843137e+00,1.592920354e-01,nan,nan
-1.980392157e+00,1.592920354e-01,nan,nan
-3.529411765e-01,1.592920354e-01,nan,nan
1.274509804e+00,1.592920354e-01,nan,nan
2.901960784e+00,1.592920354e-01,nan,nan
4.529411765e+00,1.592920354e-01,nan,nan
6.156862745e+00,1.592920354e-01,nan,nan
7.784313725e+00,1.592920354e-01,nan,nan
9.411764706e+00,1.592920354e-01,nan,nan
1.103921569e+01,1.592920354e-01,nan,nan
1.266666667e+01,1.592920354e-01,nan,nan
1.429411765e+01,1.592920354e-01,nan,nan
1.592156863e+01,1.592920354e-01,nan,nan
1.754901961e+01,1.592920354e-01,nan,nan
1.917647059e+01,1.592920354e-01,nan,nan
2.080392157e+01,1.592920354e-01,nan,nan
2.243137255e+01,1.592920354e-01,nan,nan
2.405882353e+01,1.592920354e-01,nan,nan
2.568627451e+01,1.592920354e-01,nan,nan
2.731372549e+01,1.592920354e-01,nan,nan
2.894117647e+01,1.592920354e-01,nan,nan
3.056862745e+01,1.592920354e-01,nan,nan
3.219607843e+01,1.592920354e-01,nan,nan
3.382352941e+01,1.592920354e-01,nan,nan
3.545098039e+01,1.592920354e-01,nan,nan
3.707843137e+01,1.592920354e-01,nan,nan
3.870588235e+01,1.592920354e-01,nan,nan
4.033333333e+01,1.592920354e-01,nan,nan
4.196078431e+01,1.592920354e-01,nan,nan
4.358823529e+01,1.592920354e-01,nan,nan
4.521568627e+01,1.592920354e-01,nan,nan
4.684313725e+01,1.592920354e-01,nan,nan
4.847058824e+01,1.592920354e-01,nan,nan
5.009803922e+01,1.592920354e-01,nan,nan
5.172549020e+01,1.592920354e-01,nan,nan
5.335294118e+01,1.592920354e-01,nan,nan
5.498039216e+01,1.592920354e-01,nan,nan
5.660784314e+01,1.592920354e-01,nan,nan
5.823529412e+01,1.592920354e-01,nan,nan
5.986274510e+01,1.592920354e-01,nan,nan
6.149019608e+01,1.592920354e-01,nan,nan
6.311764706e+01,1.592920354e-01,nan,nan
6.474509804e+01,1.592920354e-01,nan,nan
6.637254902e+01,1.592920354e-01,nan,nan
6.800000000e+01,1.592920354e-01,nan,nan
-1.500000000e+01,2.123893805e-01,nan,nan
-1.337254902e+01,2.123893805e-01,nan,nan
-1.174509804e+01,2.123893805e-01,nan,nan
-1.011764706e+01,2.123893805e-01,nan,nan
-8.490196078e+00,2.123893805e-01,nan,nan
-6.862745098e+00,2.123893805e-01,nan,nan
-5.235294118e+00,2.123893805e-01,nan,nan
-3.607843137e+00,2.123893805e-01,nan,nan
-1.980392157e+00,2.123893805e-01,nan,nan
-3.529411765e-01,2.123893805e-01,nan,nan
1.274509804e+00,2.123893805e-01,nan,nan
2.901960784e+00,2.123893805e-01,nan,nan
4.529411765e+00,2.123893805e-01,nan,nan
6.156862745e+00,2.123893805e-01,nan,nan
7.784313725e+00,2.123893805e-01,nan,nan
9.411764706e+00,2.123893805e-01,nan,nan
1.103921569e+01,2.123893805e-01,nan,nan
1.266666667e+01,2.123893805e-01,nan,nan
1.429411765e+01,2.123893805e-01,nan,nan
1.592156863e+01,2.123893805e-01,nan,nan
