X,Y,E
0.0175,nan,0
0.0525,nan,0
0.0875,nan,0
0.1225,nan,0
0.1575,nan,0
0.1925,nan,0
0.2275,nan,0
0.2625,nan,0
0.2975,nan,0
0.3325,nan,0
0.3675,nan,0
0.4025,nan,0
0.4375,nan,0
0.4725,nan,0
0.5075,nan,0
0.5425,nan,0
0.5775,nan,0
0.6125,nan,0
0.6475,nan,0
0.6825,nan,0
0.7175,nan,0
0.7525,nan,0
0.7875,nan,0
0.8225,nan,0
0.8575,nan,0
0.8925,nan,0
0.9275,nan,0
0.9625,nan,0
0.9975,nan,0
1.0325,nan,0
1.0675,nan,0
1.1025,nan,0
1.1375,nan,0
1.1725,nan,0
1.2075,nan,0
1.2425,nan,0
1.2775,nan,0
1.3125,nan,0
1.3475,nan,0
1.3825,nan,0
1.4175,nan,0
1.4525,nan,0
1.4875,nan,0
1.5225,nan,0
1.5575,nan,0
1.5925,nan,0
1.6275,nan,0
1.6625,nan,0
1.6975,nan,0
1.7325,nan,0
1.7675,nan,0
1.8025,nan,0
1.8375,nan,0
1.8725,nan,0
1.9075,nan,0
1.9425,nan,0
1.9775,nan,0
2.0125,nan,0
2.0475,nan,0
2.0825,nan,0
2.1175,nan,0
2.1525,nan,0
2.1875,nan,0
2.2225,nan,0
2.2575,nan,0
2.2925,nan,0
2.3275,nan,0
2.3625,nan,0
2.3975,nan,0
2.4325,nan,0
2.4675,nan,0
2.5025,nan,0
2.5375,nan,0
2.5725,nan,0
2.6075,nan,0
2.6425,nan,0
2.6775,nan,0
2.7125,nan,0
2.7475,nan,0
2.7825,nan,0
2.8175,nan,0
2.8525,nan,0
2.8875,nan,0
2.9225,nan,0
2.9575,nan,0
2.9925,nan,0
3.0275,nan,0
3.0625,nan,0
3.0975,nan,0
3.1325,nan,0
3.1675,nan,0
3.2025,nan,0
3.2375,nan,0
3.2725,nan,0
3.3075,nan,0
3.3425,nan,0
3.3775,nan,0
3.4125,nan,0
3.4475,nan,0
3.4825,nan,0
3.5175,nan,0
3.5525,nan,0
3.5875,nan,0
3.6225,nan,0
3.6575,nan,0
3.6925,nan,0
3.7275,nan,0
3.7625,nan,0
3.7975,nan,0
3.8325,nan,0
3.8675,0.278584,0.0806654
3.9025,0.275012,0.0350644
3.9375,0.336865,1.70547
3.9725,0.278021,0.0366723
4.0075,0.262854,0.0183439
4.0425,0.249835,0.258334
4.0775,0.247324,0.0202406
4.1125,0.243715,0.0118523
4.1475,0.274639,0.188143
4.1825,0.26619,0.0173406
4.2175,0.261677,0.0104873
4.2525,0.325483,0.255493
4.2875,0.284767,0.0151085
4.3225,0.276232,0.00933674
4.3575,0.273796,0.00819777
4.3925,0.283183,0.013536
4.4275,0.278884,0.00847571
4.4625,0.281079,0.00762633
4.4975,0.281744,0.00730236
4.5325,0.281155,0.00719868
4.5675,0.280957,0.00733229
4.6025,0.285519,0.00752876
