X,Y,E
0.0125,nan,0
0.0375,nan,0
0.0625,nan,0
0.0875,nan,0
0.1125,nan,0
0.1375,nan,0
0.1625,nan,0
0.1875,nan,0
0.2125,nan,0
0.2375,nan,0
0.2625,nan,0
0.2875,nan,0
0.3125,nan,0
0.3375,nan,0
0.3625,nan,0
0.3875,nan,0
0.4125,nan,0
0.4375,nan,0
0.4625,nan,0
0.4875,nan,0
0.5125,nan,0
0.5375,nan,0
0.5625,nan,0
0.5875,nan,0
0.6125,nan,0
0.6375,nan,0
0.6625,nan,0
0.6875,nan,0
0.7125,nan,0
0.7375,nan,0
0.7625,nan,0
0.7875,nan,0
0.8125,nan,0
0.8375,nan,0
0.8625,nan,0
0.8875,nan,0
0.9125,nan,0
0.9375,nan,0
0.9625,nan,0
0.9875,nan,0
1.0125,nan,0
1.0375,nan,0
1.0625,nan,0
1.0875,0.0722783,0.113911
1.1125,0.0720787,1.17023
1.1375,0.0742318,0.0154954
1.1625,0.0769388,0.0167039
1.1875,0.0738245,0.0243541
1.2125,0.0747781,0.376109
1.2375,0.0775973,0.00636471
1.2625,0.0773815,0.00816945
1.2875,0.0705964,0.0175229
1.3125,0.0713625,0.00381841
1.3375,0.0742578,0.00440379
1.3625,0.0745164,0.00686715
1.3875,0.0787166,0.0430433
1.4125,0.0762516,0.00306083
1.4375,0.0757283,0.0046157
1.4625,0.0757408,0.0131071
1.4875,0.0749584,0.00230607
1.5125,0.0775616,0.00309263
1.5375,0.0760455,0.00766332
1.5625,0.0766008,0.00193422
1.5875,0.0786914,0.00262991
1.6125,0.0792438,0.00164049
1.6375,0.0780099,0.00147854
1.6625,0.0784848,0.00143753
1.6875,0.0804243,0.00143288
1.7125,0.0812334,0.00143163
1.7375,0.0819116,0.00143392
1.7625,0.0837792,0.00144183
1.7875,0.0838751,0.00144561
1.8125,0.0846424,0.0014527
1.8375,0.0850127,0.00145993
1.8625,0.0871528,0.00147267
1.8875,0.0890315,0.00148455
1.9125,0.0897484,0.00149219
1.9375,0.090339,0.00150631
1.9625,0.0902907,0.00152681
1.9875,0.0924357,0.00155723
2.0125,0.094967,0.00158673
2.0375,0.0948762,0.00160339
2.0625,0.0945932,0.00161661
2.0875,0.0949587,0.00163575
2.1125,0.0958385,0.00164814
2.1375,0.0976111,0.00166915
2.1625,0.0983607,0.00168297
2.1875,0.0976157,0.00169357
2.2125,0.0976525,0.00170741
2.2375,0.0988221,0.00171901
2.2625,0.100573,0.00173287
2.2875,0.101738,0.00174585
2.3125,0.102601,0.00175803
2.3375,0.103438,0.00176486
2.3625,0.103936,0.0017655
2.3875,0.105552,0.00177769
2.4125,0.107854,0.00179613
2.4375,0.10952,0.00180448
2.4625,0.110104,0.00180846
2.4875,0.111049,0.00180992
2.5125,0.112319,0.00181604
2.5375,0.113423,0.00181963
2.5625,0.114049,0.00182934
2.5875,0.114382,0.00182699
2.6125,0.114529,0.00182996
2.6375,0.115889,0.0018384
2.6625,0.117705,0.00185212
2.6875,0.118306,0.00185309
2.7125,0.119369,0.00185611
2.7375,0.120951,0.00187514
2.7625,0.120909,0.00187507
2.7875,0.121239,0.00188268
2.8125,0.12351,0.00188785
2.8375,0.124912,0.00190742
2.8625,0.126788,0.00193295
2.8875,0.127313,0.00195712
2.9125,0.128524,0.00200254
2.9375,0.130163,0.0020466
2.9625,0.132384,0.00211327
2.9875,0.13476,0.00216273
3.0125,0.136735,0.00221582
3.0375,0.137604,0.00224521
3.0625,0.139176,0.00229983
3.0875,0.140398,0.00234923
3.1125,0.140898,0.00237108
3.1375,0.143197,0.00242787
3.1625,0.145749,0.00245893
3.1875,0.146624,0.00250102
3.2125,0.146524,0.00252566
3.2375,0.146641,0.00255215
3.2625,0.14871,0.00258137
3.2875,0.150843,0.0026136
3.3125,0.152407,0.00264685
3.3375,0.151246,0.00259966
3.3625,0.150577,0.00263519
3.3875,0.152638,0.00273282
3.4125,0.153723,0.00290724
3.4375,0.154807,0.00298358
3.4625,0.1583,0.00293956
3.4875,0.159542,0.00290852
3.5125,0.160129,0.00287755
3.5375,0.161275,0.00292215
3.5625,0.16406,0.00283007
3.5875,0.166929,0.00290254
3.6125,0.168162,0.00286531
3.6375,0.168964,0.00290661
3.6625,0.169291,0.00284479
3.6875,0.169218,0.00287848
3.7125,0.169078,0.00290607
3.7375,0.171226,0.0028575
3.7625,0.173327,0.00292876
3.7875,0.175775,0.00287564
3.8125,0.180597,0.00301952
3.8375,0.181729,0.00297263
3.8625,0.178899,0.00293651
3.8875,0.176174,0.00293913
3.9125,0.178073,0.00292205
3.9375,0.183434,0.00302294
3.9625,0.18492,0.00295365
3.9875,0.186152,0.00301637
4.0125,0.185326,0.00298921
4.0375,0.185653,0.00304356
4.0625,0.186311,0.00303022
4.0875,0.188013,0.00300012
4.1125,0.191993,0.00306976
4.1375,0.196003,0.003073
4.1625,0.194424,0.00303987
4.1875,0.194064,0.00303119
4.2125,0.194927,0.00304771
4.2375,0.196314,0.00303553
4.2625,0.197915,0.00304896
4.2875,0.199132,0.00305651
4.3125,0.199319,0.00307166
4.3375,0.199654,0.00310569
4.3625,0.202143,0.0030951
4.3875,0.204236,0.00310476
4.4125,0.203454,0.00308742
4.4375,0.202031,0.00309669
4.4625,0.202218,0.00309867
4.4875,0.203049,0.00309997
4.5125,0.204826,0.00311462
