X,Y,E
-481.381,0.00519114,0.00285012
-466.528,0.00390223,0.00244326
-452.192,0.00256978,0.0161023
-438.351,0.0022558,0.000535369
-424.982,0.00220294,0.0380397
-412.063,0.00207582,0.000691442
-399.575,0.00194399,0.000406711
-387.498,0.00194313,0.000336638
-375.815,0.00183549,0.000297681
-364.509,0.00195425,0.000391606
-353.564,0.00218454,0.0014126
-342.964,0.00190167,0.000168341
-332.696,0.00188074,0.000332976
-322.745,0.00196076,0.00015165
-313.099,0.00210243,0.000791984
-303.745,0.00199497,0.000232147
-294.671,0.00201213,0.00015503
-285.867,0.00204007,0.000133809
-277.322,0.00215995,0.00012932
-269.026,0.00214135,0.000144265
-260.969,0.0022304,0.000131349
-253.142,0.00239113,0.000300601
-245.537,0.00244029,0.000915727
-238.145,0.00237427,0.000161812
-230.958,0.00240679,0.000263108
-223.969,0.00249125,9.89611e-05
-217.17,0.00252205,0.000101177
-210.556,0.00244428,0.000100694
-204.118,0.00250052,0.000105789
-197.851,0.00246886,0.000108568
-191.749,0.0027151,0.000118037
-185.807,0.00285969,0.000123673
-180.018,0.00277944,0.000124069
-174.377,0.00295689,0.000132858
-168.88,0.00308821,0.000138736
-163.522,0.00316155,0.000143377
-158.297,0.00331683,0.00015142
-153.202,0.00361422,0.000160712
-148.232,0.00370804,0.000164502
-143.383,0.00378029,0.00016832
-138.652,0.00413576,0.000182032
-134.034,0.00419766,0.000185984
-129.526,0.00428301,0.000190249
-125.125,0.00523126,0.000214157
-120.827,0.00525399,0.000217918
-116.628,0.00564984,0.000231997
-112.527,0.00605786,0.000245166
-108.519,0.00651816,0.000258373
-104.603,0.00702778,0.000270244
-100.775,0.00761425,0.000286533
-97.0322,0.00821921,0.000302197
-93.3729,0.00908479,0.000322187
-89.7944,0.0105586,0.000354154
-86.2941,0.0118433,0.000378262
-82.87,0.0131105,0.000400134
-79.5198,0.0152769,0.000438752
-76.2413,0.0178765,0.000481112
-73.0326,0.0210927,0.000530597
-69.8917,0.0247644,0.000582202
-66.8166,0.0292664,0.000639695
-63.8056,0.0334455,0.000690058
-60.8569,0.0386206,0.000749149
-57.9688,0.0460586,0.000826049
-55.1397,0.0532651,0.000899485
-52.3678,0.0620752,0.000979876
-49.6518,0.0698834,0.00104867
-46.9901,0.0808345,0.00114054
-44.3812,0.0896063,0.00121662
-41.8239,0.098906,0.00129334
-39.3166,0.106119,0.00135249
-36.8583,0.112132,0.00140467
-34.4475,0.127196,0.00151104
-32.083,0.163403,0.001731
-29.7637,0.224993,0.00204886
-27.4885,0.299285,0.00239359
-25.2562,0.368968,0.00268676
-23.0657,0.429221,0.00292701
-20.9161,0.478567,0.00311982
-18.8062,0.532781,0.00332497
-16.7352,0.601213,0.00357438
-14.7021,0.670768,0.00382182
-12.7059,0.731144,0.00403241
-10.7458,0.838168,0.00435949
-8.82088,1.15443,0.0051697
-6.93035,1.85541,0.00664942
-5.07338,2.90155,0.00845328
-3.24917,4.0304,0.0101188
-1.45697,4.942,0.0113505
0.303977,5.27087,0.0118494
2.13592,4.77193,0.0107352
4.0543,3.63139,0.00932036
5.97267,2.2824,0.00734684
7.89105,1.25914,0.00542961
9.80943,0.789202,0.00427626
11.7278,0.677586,0.00396217
13.6462,0.653697,0.00389074
15.5646,0.639243,0.00384017
17.4829,0.625651,0.00379469
19.4013,0.590578,0.00367994
21.3197,0.564944,0.00359437
23.2381,0.529607,0.00347589
25.1565,0.487985,0.0033301
27.0748,0.447805,0.00318631
28.9932,0.416054,0.00306619
30.9116,0.386259,0.00295101
32.83,0.360006,0.00284554
34.7483,0.337223,0.00276001
36.6667,0.302296,0.00261245
38.5851,0.263833,0.00244415
40.5035,0.237799,0.00232357
42.4219,0.214607,0.00220865
44.3402,0.193267,0.00209441
46.2586,0.184367,0.00204171
48.177,0.183487,0.00203048
50.0954,0.192267,0.0020778
52.0137,0.207345,0.00215706
53.9321,0.211198,0.00216896
55.8505,0.206663,0.0021435
57.7689,0.189233,0.00205488
59.6873,0.157277,0.00186216
61.6056,0.134945,0.00172038
63.524,0.119794,0.00162297
65.4424,0.110921,0.00155235
67.3608,0.109761,0.00154224
69.2792,0.109767,0.00154038
71.1975,0.107834,0.00152553
73.1159,0.103895,0.00149617
75.0343,0.102827,0.00148288
76.9527,0.102896,0.00147653
78.871,0.104877,0.00149016
80.7894,0.113055,0.00153586
82.7078,0.131038,0.00165106
84.6262,0.143379,0.00172405
86.5446,0.146685,0.0017357
88.4629,0.140716,0.00169577
90.3813,0.132002,0.00163915
92.2997,0.137318,0.00166258
94.2181,0.159835,0.00179759
96.1364,0.196662,0.00197863
98.0548,0.240748,0.00217532
99.9732,0.270489,0.00229104
101.892,0.274936,0.0023059
103.81,0.265092,0.0022491
105.728,0.241863,0.00213736
107.647,0.219474,0.00202938
109.565,0.215879,0.00199934
111.483,0.240745,0.00209249
113.402,0.290583,0.00227545
115.32,0.337658,0.0024314
117.239,0.362853,0.00250184
119.157,0.35925,0.00247265
121.075,0.334358,0.00239774
122.994,0.31958,0.00235593
124.912,0.337764,0.00248919
126.83,0.38337,0.00973758
128.749,0.435235,0.00669569
130.667,0.501531,0.027826
132.586,0.571646,0.00381477
134.504,0.698417,0.00993942
136.422,0.855827,0.0068121
138.239,0.456011,0.0405734
