X,Y,E
0.0125,nan,0
0.0375,nan,0
0.0625,nan,0
0.0875,nan,0
0.1125,nan,0
0.1375,nan,0
0.1625,nan,0
0.1875,nan,0
0.2125,nan,0
0.2375,nan,0
0.2625,nan,0
0.2875,nan,0
0.3125,nan,0
0.3375,nan,0
0.3625,nan,0
0.3875,nan,0
0.4125,nan,0
0.4375,nan,0
0.4625,nan,0
0.4875,nan,0
0.5125,nan,0
0.5375,nan,0
0.5625,nan,0
0.5875,nan,0
0.6125,nan,0
0.6375,nan,0
0.6625,nan,0
0.6875,nan,0
0.7125,nan,0
0.7375,nan,0
0.7625,nan,0
0.7875,nan,0
0.8125,nan,0
0.8375,nan,0
0.8625,nan,0
0.8875,nan,0
0.9125,nan,0
0.9375,nan,0
0.9625,nan,0
0.9875,nan,0
1.0125,nan,0
1.0375,nan,0
1.0625,nan,0
1.0875,nan,0
1.1125,nan,0
1.1375,nan,0
1.1625,nan,0
1.1875,nan,0
1.2125,nan,0
1.2375,nan,0
1.2625,nan,0
1.2875,nan,0
1.3125,nan,0
1.3375,nan,0
1.3625,nan,0
1.3875,nan,0
1.4125,nan,0
1.4375,nan,0
1.4625,nan,0
1.4875,nan,0
1.5125,nan,0
1.5375,nan,0
1.5625,nan,0
1.5875,nan,0
1.6125,nan,0
1.6375,nan,0
1.6625,nan,0
1.6875,nan,0
1.7125,nan,0
1.7375,nan,0
1.7625,nan,0
1.7875,nan,0
1.8125,nan,0
1.8375,nan,0
1.8625,nan,0
1.8875,nan,0
1.9125,nan,0
1.9375,nan,0
1.9625,nan,0
1.9875,nan,0
2.0125,nan,0
2.0375,nan,0
2.0625,nan,0
2.0875,nan,0
2.1125,nan,0
2.1375,nan,0
2.1625,nan,0
2.1875,0.033976,0.0264423
2.2125,0.0388273,0.00897192
2.2375,0.0379813,0.00811889
2.2625,0.0529885,0.101951
2.2875,0.0474581,0.00648719
2.3125,0.0548326,0.0247871
2.3375,0.0452241,0.00393146
2.3625,0.0414758,0.00789566
2.3875,0.0412164,0.00261949
2.4125,0.0426541,0.00485431
2.4375,0.0439823,0.00219831
2.4625,0.0449714,0.00377263
2.4875,0.043404,0.00194627
2.5125,0.0451701,0.0032743
2.5375,0.0428585,0.00178775
2.5625,0.0445232,0.00265995
2.5875,0.0451343,0.00166486
2.6125,0.0504165,0.00293345
2.6375,0.0463734,0.270371
2.6625,0.0490225,0.00225297
2.6875,0.0482679,0.00154165
2.7125,0.0516784,0.00226022
2.7375,0.0504776,0.00153191
2.7625,0.0519938,0.00205105
2.7875,0.0522787,0.0014837
2.8125,0.0535617,0.00211883
2.8375,0.054642,0.00148811
2.8625,0.0579306,0.00261697
2.8875,0.0562577,0.00153152
2.9125,0.0546054,0.00215876
2.9375,0.0554086,0.00140611
2.9625,0.0600662,0.00389381
2.9875,0.0583188,0.00150136
3.0125,0.057509,0.00578993
3.0375,0.0566584,0.0013975
3.0625,0.0571551,0.0013211
3.0875,0.0581051,0.00141493
3.1125,0.0590486,0.0013154
3.1375,0.0575202,0.00169265
3.1625,0.057405,0.00130213
3.1875,0.0589884,0.00383881
3.2125,0.0589703,0.00135513
3.2375,0.0585835,0.00128826
3.2625,0.0584878,0.00144759
3.2875,0.0588606,0.00129679
3.3125,0.0589647,0.00205881
3.3375,0.058792,0.00130668
3.3625,0.0603226,0.00131294
3.3875,0.0603813,0.00139705
3.4125,0.0605211,0.0013233
3.4375,0.0597744,0.00267557
3.4625,0.060642,0.00136945
3.4875,0.0614617,0.00136524
3.5125,0.0608456,0.00147291
3.5375,0.0615399,0.00137072
3.5625,0.0622732,0.0013888
3.5875,0.0613464,0.00147751
3.6125,0.0619395,0.00141502
3.6375,0.062651,0.00811969
3.6625,0.0631,0.00149384
3.6875,0.06444,0.00148764
3.7125,0.0647603,0.00371245
3.7375,0.0644677,0.00150712
3.7625,0.06391,0.00148042
3.7875,0.0640484,0.00148871
3.8125,0.064737,0.0015039
3.8375,0.0656409,0.00153339
3.8625,0.0660262,0.00154727
3.8875,0.0659979,0.00155895
3.9125,0.0648668,0.00155807
3.9375,0.0671403,0.00159441
3.9625,0.0683168,0.00161511
3.9875,0.069128,0.00163645
4.0125,0.0699649,0.00166523
4.0375,0.0697891,0.0016695
4.0625,0.0697448,0.00167228
4.0875,0.0702236,0.00168953
4.1125,0.0700063,0.00169061
4.1375,0.0708012,0.00170804
4.1625,0.0705222,0.00171638
4.1875,0.0712693,0.00173096
4.2125,0.0718389,0.00175005
4.2375,0.0717142,0.00176004
4.2625,0.0736714,0.00178224
4.2875,0.0727013,0.00177049
4.3125,0.0736256,0.00178951
4.3375,0.0736082,0.00179867
4.3625,0.0723857,0.00178127
4.3875,0.0724934,0.00178228
4.4125,0.0713293,0.00176904
4.4375,0.0746184,0.00181139
4.4625,0.0751599,0.0018202
4.4875,0.0733211,0.00179748
4.5125,0.0751946,0.00182406
4.5375,0.0770796,0.00184623
4.5625,0.0776801,0.00186136
4.5875,0.0776538,0.00187308
4.6125,0.0758487,0.00184996
4.6375,0.0777094,0.00188025
4.6625,0.079798,0.00189888
4.6875,0.0816043,0.00191256
4.7125,0.0799348,0.00194293
4.7375,0.0772348,0.00205057
4.7625,0.0771493,0.00211866
4.7875,0.0794359,0.0020884
4.8125,0.0788361,0.00203468
4.8375,0.0811838,0.00203214
4.8625,0.0833255,0.00203638
