#,MSlice,Slice,of,workspace,"__sE76T1p6"
#,(Energy,Transfer,(meV)),($|Q|$,($\mathrm{\AA}^{-1}$)),(Signal),(Error)
E,Q,S,S_E
-1.500000000e+01,0.000000000e+00,nan,nan
-1.339215686e+01,0.000000000e+00,nan,nan
-1.178431373e+01,0.000000000e+00,nan,nan
-1.017647059e+01,0.000000000e+00,nan,nan
-8.568627451e+00,0.000000000e+00,nan,nan
-6.960784314e+00,0.000000000e+00,nan,nan
-5.352941176e+00,0.000000000e+00,nan,nan
-3.745098039e+00,0.000000000e+00,nan,nan
-2.137254902e+00,0.000000000e+00,nan,nan
-5.294117647e-01,0.000000000e+00,nan,nan
1.078431373e+00,0.000000000e+00,nan,nan
2.686274510e+00,0.000000000e+00,nan,nan
4.294117647e+00,0.000000000e+00,nan,nan
5.901960784e+00,0.000000000e+00,nan,nan
7.509803922e+00,0.000000000e+00,nan,nan
9.117647059e+00,0.000000000e+00,nan,nan
1.072549020e+01,0.000000000e+00,nan,nan
1.233333333e+01,0.000000000e+00,nan,nan
1.394117647e+01,0.000000000e+00,nan,nan
1.554901961e+01,0.000000000e+00,nan,nan
1.715686275e+01,0.000000000e+00,nan,nan
1.876470588e+01,0.000000000e+00,nan,nan
2.037254902e+01,0.000000000e+00,nan,nan
2.198039216e+01,0.000000000e+00,nan,nan
2.358823529e+01,0.000000000e+00,nan,nan
2.519607843e+01,0.000000000e+00,nan,nan
2.680392157e+01,0.000000000e+00,nan,nan
2.841176471e+01,0.000000000e+00,nan,nan
3.001960784e+01,0.000000000e+00,nan,nan
3.162745098e+01,0.000000000e+00,nan,nan
3.323529412e+01,0.000000000e+00,nan,nan
3.484313725e+01,0.000000000e+00,nan,nan
3.645098039e+01,0.000000000e+00,nan,nan
3.805882353e+01,0.000000000e+00,nan,nan
3.966666667e+01,0.000000000e+00,nan,nan
4.127450980e+01,0.000000000e+00,nan,nan
4.288235294e+01,0.000000000e+00,nan,nan
4.449019608e+01,0.000000000e+00,nan,nan
4.609803922e+01,0.000000000e+00,nan,nan
4.770588235e+01,0.000000000e+00,nan,nan
4.931372549e+01,0.000000000e+00,nan,nan
5.092156863e+01,0.000000000e+00,nan,nan
5.252941176e+01,0.000000000e+00,nan,nan
5.413725490e+01,0.000000000e+00,nan,nan
5.574509804e+01,0.000000000e+00,nan,nan
5.735294118e+01,0.000000000e+00,nan,nan
5.896078431e+01,0.000000000e+00,nan,nan
6.056862745e+01,0.000000000e+00,nan,nan
6.217647059e+01,0.000000000e+00,nan,nan
6.378431373e+01,0.000000000e+00,nan,nan
6.539215686e+01,0.000000000e+00,nan,nan
6.700000000e+01,0.000000000e+00,nan,nan
-1.500000000e+01,5.309734513e-02,nan,nan
-1.339215686e+01,5.309734513e-02,nan,nan
-1.178431373e+01,5.309734513e-02,nan,nan
-1.017647059e+01,5.309734513e-02,nan,nan
-8.568627451e+00,5.309734513e-02,nan,nan
-6.960784314e+00,5.309734513e-02,nan,nan
-5.352941176e+00,5.309734513e-02,nan,nan
-3.745098039e+00,5.309734513e-02,nan,nan
-2.137254902e+00,5.309734513e-02,nan,nan
-5.294117647e-01,5.309734513e-02,nan,nan
1.078431373e+00,5.309734513e-02,nan,nan
2.686274510e+00,5.309734513e-02,nan,nan
4.294117647e+00,5.309734513e-02,nan,nan
5.901960784e+00,5.309734513e-02,nan,nan
7.509803922e+00,5.309734513e-02,nan,nan
9.117647059e+00,5.309734513e-02,nan,nan
1.072549020e+01,5.309734513e-02,nan,nan
1.233333333e+01,5.309734513e-02,nan,nan
1.394117647e+01,5.309734513e-02,nan,nan
1.554901961e+01,5.309734513e-02,nan,nan
1.715686275e+01,5.309734513e-02,nan,nan
1.876470588e+01,5.309734513e-02,nan,nan
2.037254902e+01,5.309734513e-02,nan,nan
2.198039216e+01,5.309734513e-02,nan,nan
2.358823529e+01,5.309734513e-02,nan,nan
2.519607843e+01,5.309734513e-02,nan,nan
2.680392157e+01,5.309734513e-02,nan,nan
2.841176471e+01,5.309734513e-02,nan,nan
3.001960784e+01,5.309734513e-02,nan,nan
3.162745098e+01,5.309734513e-02,nan,nan
3.323529412e+01,5.309734513e-02,nan,nan
3.484313725e+01,5.309734513e-02,nan,nan
3.645098039e+01,5.309734513e-02,nan,nan
3.805882353e+01,5.309734513e-02,nan,nan
3.966666667e+01,5.309734513e-02,nan,nan
4.127450980e+01,5.309734513e-02,nan,nan
4.288235294e+01,5.309734513e-02,nan,nan
4.449019608e+01,5.309734513e-02,nan,nan
4.609803922e+01,5.309734513e-02,nan,nan
4.770588235e+01,5.309734513e-02,nan,nan
4.931372549e+01,5.309734513e-02,nan,nan
5.092156863e+01,5.309734513e-02,nan,nan
5.252941176e+01,5.309734513e-02,nan,nan
5.413725490e+01,5.309734513e-02,nan,nan
5.574509804e+01,5.309734513e-02,nan,nan
5.735294118e+01,5.309734513e-02,nan,nan
5.896078431e+01,5.309734513e-02,nan,nan
6.056862745e+01,5.309734513e-02,nan,nan
6.217647059e+01,5.309734513e-02,nan,nan
6.378431373e+01,5.309734513e-02,nan,nan
6.539215686e+01,5.309734513e-02,nan,nan
6.700000000e+01,5.309734513e-02,nan,nan
-1.500000000e+01,1.061946903e-01,nan,nan
-1.339215686e+01,1.061946903e-01,nan,nan
-1.178431373e+01,1.061946903e-01,nan,nan
-1.017647059e+01,1.061946903e-01,nan,nan
-8.568627451e+00,1.061946903e-01,nan,nan
-6.960784314e+00,1.061946903e-01,nan,nan
-5.352941176e+00,1.061946903e-01,nan,nan
-3.745098039e+00,1.061946903e-01,nan,nan
-2.137254902e+00,1.061946903e-01,nan,nan
-5.294117647e-01,1.061946903e-01,nan,nan
