#,MSlice,Slice,of,workspace,"__sE76T1p6sub"
#,(Energy,Transfer,(meV)),($|Q|$,($\mathrm{\AA}^{-1}$)),(Signal),(Error)
E,Q,S,S_E
-1.300000000e+01,0.000000000e+00,nan,nan
-1.136734694e+01,0.000000000e+00,nan,nan
-9.734693878e+00,0.000000000e+00,nan,nan
-8.102040816e+00,0.000000000e+00,nan,nan
-6.469387755e+00,0.000000000e+00,nan,nan
-4.836734694e+00,0.000000000e+00,nan,nan
-3.204081633e+00,0.000000000e+00,nan,nan
-1.571428571e+00,0.000000000e+00,nan,nan
6.122448980e-02,0.000000000e+00,nan,nan
1.693877551e+00,0.000000000e+00,nan,nan
3.326530612e+00,0.000000000e+00,nan,nan
4.959183673e+00,0.000000000e+00,nan,nan
6.591836735e+00,0.000000000e+00,nan,nan
8.224489796e+00,0.000000000e+00,nan,nan
9.857142857e+00,0.000000000e+00,nan,nan
1.148979592e+01,0.000000000e+00,nan,nan
1.312244898e+01,0.000000000e+00,nan,nan
1.475510204e+01,0.000000000e+00,nan,nan
1.638775510e+01,0.000000000e+00,nan,nan
1.802040816e+01,0.000000000e+00,nan,nan
1.965306122e+01,0.000000000e+00,nan,nan
2.128571429e+01,0.000000000e+00,nan,nan
2.291836735e+01,0.000000000e+00,nan,nan
2.455102041e+01,0.000000000e+00,nan,nan
2.618367347e+01,0.000000000e+00,nan,nan
2.781632653e+01,0.000000000e+00,nan,nan
2.944897959e+01,0.000000000e+00,nan,nan
3.108163265e+01,0.000000000e+00,nan,nan
3.271428571e+01,0.000000000e+00,nan,nan
3.434693878e+01,0.000000000e+00,nan,nan
3.597959184e+01,0.000000000e+00,nan,nan
3.761224490e+01,0.000000000e+00,nan,nan
3.924489796e+01,0.000000000e+00,nan,nan
4.087755102e+01,0.000000000e+00,nan,nan
4.251020408e+01,0.000000000e+00,nan,nan
4.414285714e+01,0.000000000e+00,nan,nan
4.577551020e+01,0.000000000e+00,nan,nan
4.740816327e+01,0.000000000e+00,nan,nan
4.904081633e+01,0.000000000e+00,nan,nan
5.067346939e+01,0.000000000e+00,nan,nan
5.230612245e+01,0.000000000e+00,nan,nan
5.393877551e+01,0.000000000e+00,nan,nan
5.557142857e+01,0.000000000e+00,nan,nan
5.720408163e+01,0.000000000e+00,nan,nan
5.883673469e+01,0.000000000e+00,nan,nan
6.046938776e+01,0.000000000e+00,nan,nan
6.210204082e+01,0.000000000e+00,nan,nan
6.373469388e+01,0.000000000e+00,nan,nan
6.536734694e+01,0.000000000e+00,nan,nan
6.700000000e+01,0.000000000e+00,nan,nan
-1.300000000e+01,5.306122449e-02,nan,nan
-1.136734694e+01,5.306122449e-02,nan,nan
-9.734693878e+00,5.306122449e-02,nan,nan
-8.102040816e+00,5.306122449e-02,nan,nan
-6.469387755e+00,5.306122449e-02,nan,nan
-4.836734694e+00,5.306122449e-02,nan,nan
-3.204081633e+00,5.306122449e-02,nan,nan
-1.571428571e+00,5.306122449e-02,nan,nan
6.122448980e-02,5.306122449e-02,nan,nan
1.693877551e+00,5.306122449e-02,nan,nan
3.326530612e+00,5.306122449e-02,nan,nan
4.959183673e+00,5.306122449e-02,nan,nan
6.591836735e+00,5.306122449e-02,nan,nan
8.224489796e+00,5.306122449e-02,nan,nan
9.857142857e+00,5.306122449e-02,nan,nan
1.148979592e+01,5.306122449e-02,nan,nan
1.312244898e+01,5.306122449e-02,nan,nan
1.475510204e+01,5.306122449e-02,nan,nan
1.638775510e+01,5.306122449e-02,nan,nan
1.802040816e+01,5.306122449e-02,nan,nan
1.965306122e+01,5.306122449e-02,nan,nan
2.128571429e+01,5.306122449e-02,nan,nan
2.291836735e+01,5.306122449e-02,nan,nan
2.455102041e+01,5.306122449e-02,nan,nan
2.618367347e+01,5.306122449e-02,nan,nan
2.781632653e+01,5.306122449e-02,nan,nan
2.944897959e+01,5.306122449e-02,nan,nan
3.108163265e+01,5.306122449e-02,nan,nan
3.271428571e+01,5.306122449e-02,nan,nan
3.434693878e+01,5.306122449e-02,nan,nan
3.597959184e+01,5.306122449e-02,nan,nan
3.761224490e+01,5.306122449e-02,nan,nan
3.924489796e+01,5.306122449e-02,nan,nan
4.087755102e+01,5.306122449e-02,nan,nan
4.251020408e+01,5.306122449e-02,nan,nan
4.414285714e+01,5.306122449e-02,nan,nan
4.577551020e+01,5.306122449e-02,nan,nan
4.740816327e+01,5.306122449e-02,nan,nan
4.904081633e+01,5.306122449e-02,nan,nan
5.067346939e+01,5.306122449e-02,nan,nan
5.230612245e+01,5.306122449e-02,nan,nan
5.393877551e+01,5.306122449e-02,nan,nan
5.557142857e+01,5.306122449e-02,nan,nan
5.720408163e+01,5.306122449e-02,nan,nan
5.883673469e+01,5.306122449e-02,nan,nan
6.046938776e+01,5.306122449e-02,nan,nan
6.210204082e+01,5.306122449e-02,nan,nan
6.373469388e+01,5.306122449e-02,nan,nan
6.536734694e+01,5.306122449e-02,nan,nan
6.700000000e+01,5.306122449e-02,nan,nan
-1.300000000e+01,1.061224490e-01,nan,nan
-1.136734694e+01,1.061224490e-01,nan,nan
-9.734693878e+00,1.061224490e-01,nan,nan
-8.102040816e+00,1.061224490e-01,nan,nan
-6.469387755e+00,1.061224490e-01,nan,nan
-4.836734694e+00,1.061224490e-01,nan,nan
-3.204081633e+00,1.061224490e-01,nan,nan
-1.571428571e+00,1.061224490e-01,nan,nan
6.122448980e-02,1.061224490e-01,nan,nan
1.693877551e+00,1.061224490e-01,nan,nan
3.326530612e+00,1.061224490e-01,nan,nan
4.959183673e+00,1.061224490e-01,nan,nan
6.591836735e+00,1.061224490e-01,nan,nan
8.224489796e+00,1.061224490e-01,nan,nan
9.857142857e+00,1.061224490e-01,nan,nan
1.148979592e+01,1.061224490e-01,nan,nan
1.312244898e+01,1.061224490e-01,nan,nan
1.475510204e+01,1.061224490e-01,nan,nan
1.638775510e+01,1.061224490e-01,nan,nan
1.802040816e+01,1.061224490e-01,nan,nan
1.965306122e+01,1.061224490e-01,nan,nan
2.128571429e+01,1.061224490e-01,nan,nan
2.291836735e+01,1.061224490e-01,nan,nan
2.455102041e+01,1.061224490e-01,nan,nan
2.618367347e+01,1.061224490e-01,nan,nan
2.781632653e+01,1.061224490e-01,nan,nan
2.944897959e+01,1.061224490e-01,nan,nan
3.108163265e+01,1.061224490e-01,nan,nan
3.271428571e+01,1.061224490e-01,nan,nan
3.434693878e+01,1.061224490e-01,nan,nan
3.597959184e+01,1.061224490e-01,nan,nan
3.761224490e+01,1.061224490e-01,nan,nan
3.924489796e+01,1.061224490e-01,nan,nan
4.087755102e+01,1.061224490e-01,nan,nan
4.251020408e+01,1.061224490e-01,nan,nan
4.414285714e+01,1.061224490e-01,nan,nan
4.577551020e+01,1.061224490e-01,nan,nan
4.740816327e+01,1.061224490e-01,nan,nan
4.904081633e+01,1.061224490e-01,nan,nan
5.067346939e+01,1.061224490e-01,nan,nan
5.230612245e+01,1.061224490e-01,nan,nan
5.393877551e+01,1.061224490e-01,nan,nan
5.557142857e+01,1.061224490e-01,nan,nan
5.720408163e+01,1.061224490e-01,nan,nan
5.883673469e+01,1.061224490e-01,nan,nan
6.046938776e+01,1.061224490e-01,nan,nan
6.210204082e+01,1.061224490e-01,nan,nan
